Cluster	Kingdom	Phylum	Class	Order	Family	Genus	Species
C4032	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Lampropedia	Lampropedia sp. BRTC-2
C4033	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae sp.	Alcaligenaceae sp.
C4034	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus sp.
C4035	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Incertae Sedis	Incertae Sedis	uncultured bacterium
C4037	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C4038	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla	Neisseria sp. BEG238
C4040	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella sp.
C4041	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C4042	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C4043	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	uncultured bacterium
C4044	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Rhodopseudomonas	Rhodopseudomonas sp.
C4048	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Paracandidimonas	uncultured Alcaligenaceae bacterium
C4055	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter sp.
C4056	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter	uncultured bacterium
C4057	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcales sp.	Micrococcales sp.	Micrococcales sp.
C4058	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter sp.
C4060	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	Incertae Sedis	uncultured Ruminococcaceae bacterium
C4063	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellales-Selenomonadales sp.	Veillonellales-Selenomonadales sp.	Veillonellales-Selenomonadales sp.
C4064	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp.
C4065	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae sp.	Comamonadaceae sp.
C4066	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chishuiella	Empedobacter sp. F-Fue-04TIIa
C4067	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C4069	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter sp.
C4071	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C4072	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4074	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C4075	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4076	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4079	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcales Incertae Sedis	Populibacterium	Populibacterium sp.
C4082	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4084	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Incertae Sedis sp.
C4085	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	Lysinibacillus sp.
C4086	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter sp.
C4090	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4091	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C4092	Bacteria	Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Koukoulia	Koukoulia aurantiaca
C4094	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp.
