FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	library_construction_protocol
pool_61	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool61.fastq.gz	fec5207b61e54edc527a1465bbaa7703	Nanopore SQK-LSK114
pool_62	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool62.fastq.gz	1382bf7d51b41a36a41a302fe6f4e7a2	Nanopore SQK-LSK114
pool_63	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool63.fastq.gz	52964d961a3db43f60d69c6ab7535a9e	Nanopore SQK-LSK114
pool_64	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool64.fastq.gz	22697e21eff8dba63d19912f78a1207b	Nanopore SQK-LSK114
pool_65	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool65.fastq.gz	d98ea8305dc2cb1c2827351712213d9e	Nanopore SQK-LSK114
pool_66	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool66.fastq.gz	19b42f88ce495a3c8f5bab6b4b836cb3	Nanopore SQK-LSK114
pool_67	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool67.fastq.gz	163b56e912ce161a75cd43109574d21c	Nanopore SQK-LSK114
pool_68	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool68.fastq.gz	a239a17dd199c00c43a9679434d3b9d1	Nanopore SQK-LSK114
pool_69	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool69.fastq.gz	876903c6f6dda999a5a71c8154aac854	Nanopore SQK-LSK114
pool_70	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool70.fastq.gz	b5d902c57f1c933b92c154207d5e2fe5	Nanopore SQK-LSK114
pool_71	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool71.fastq.gz	eade35b9b1a91b75b860f9fa190b136c	Nanopore SQK-LSK114
pool_72	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool72.fastq.gz	867f3068c5b988b7237452b383b59412	Nanopore SQK-LSK114
pool_73	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool73.fastq.gz	93eb41ca12fe851d64a8192bbe126ed9	Nanopore SQK-LSK114
pool_74	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool74.fastq.gz	ba9d0e018e8b3bcfe924ae7f285bfcdc	Nanopore SQK-LSK114
pool_75	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool75.fastq.gz	a2b2b6ab71498928dbd2001b5fbbd6ff	Nanopore SQK-LSK114
pool_76	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool76.fastq.gz	fff2a0971bab04607032e0bd7850cdd1	Nanopore SQK-LSK114
pool_8	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool8.fastq.gz	d300649c984f582561cbf19bd6ee117c	Nanopore SQK-LSK114
Negative control	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_negative.fastq.gz	4fb2e24da924e1c2bdba9ad243cdb5b1	Nanopore SQK-LSK114
D6310	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_D6310.fastq.gz	f8c60a521af99c471f1790af12f9e813	Nanopore SQK-LSK114
DNA RNA Shield control	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_DNA_RNA_Shield.fastq.gz	be4de33bd7ac60f4d8ee95d9c43f1319	Nanopore SQK-LSK114
pool_1	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool1.fastq.gz	bd03faf5225896d48b1156ebec22eff4	Nanopore SQK-LSK114
pool_10	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool10.fastq.gz	999b889916b4eb6f332823c31a05a4d3	Nanopore SQK-LSK114
pool_11	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool11.fastq.gz	03229bd3e75ce0daa55d7383c8b54835	Nanopore SQK-LSK114
pool_12	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool12.fastq.gz	2f2b4b829a8e5bd6dca47da5d178d0bd	Nanopore SQK-LSK114
pool_13	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool13.fastq.gz	d4307ce8a9352c56d957c13f35ee3cae	Nanopore SQK-LSK114
pool_14	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool14.fastq.gz	624b5ec7d1b4516432f1ea36e65c11b5	Nanopore SQK-LSK114
pool_15	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool15.fastq.gz	a059ed86883ae6d9b709f5c3aabced67	Nanopore SQK-LSK114
pool_16	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool16.fastq.gz	e196df4481385d51e662d8e482ace816	Nanopore SQK-LSK114
pool_17	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool17.fastq.gz	64b7b1e955f1eb7a4f80f4b745dc5d35	Nanopore SQK-LSK114
pool_19	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool19.fastq.gz	86b4e128d38f8c9d6a7368f5b0c05cb1	Nanopore SQK-LSK114
pool_2	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool2.fastq.gz	2cda5adfd698a4a9cbf1d030f628a7e9	Nanopore SQK-LSK114
pool_20	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool20.fastq.gz	3cd81db938bca73f19756446e9d88dc9	Nanopore SQK-LSK114
pool_21	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool21.fastq.gz	82ebfde8a51801e2fa888429d6f4b39f	Nanopore SQK-LSK114
pool_22	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool22.fastq.gz	c0a593cc78aaef84b8e26f15956bdaa4	Nanopore SQK-LSK114
pool_23	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool23.fastq.gz	1ac77b5736a0ef31738b61adece74183	Nanopore SQK-LSK114
pool_24	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool24.fastq.gz	20dd51785e9c6f4a54d39955afd85a07	Nanopore SQK-LSK114
pool_25	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool25.fastq.gz	33dddc700ed81504b8d4e2309e26e232	Nanopore SQK-LSK114
pool_26	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool26.fastq.gz	a300e0bd71a4e644162d1d478d59d74e	Nanopore SQK-LSK114
pool_27	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool27.fastq.gz	0eee7f92f04a422152636e11b68c30c9	Nanopore SQK-LSK114
pool_28	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool28.fastq.gz	1f6827e4fee937110a2c34c7b2524d6c	Nanopore SQK-LSK114
pool_29	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool29.fastq.gz	d4f21c576fa76b03d20e4129a194302e	Nanopore SQK-LSK114
pool_3	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool3.fastq.gz	e1e29f6f943e97a2aa112c2ff8f7f9a3	Nanopore SQK-LSK114
pool_30	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool30.fastq.gz	a8a0e6dfc22dccef19d726c807d2b298	Nanopore SQK-LSK114
pool_31	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool31.fastq.gz	bb9bcfa659a563020f1654a0f9894eb0	Nanopore SQK-LSK114
pool_32	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool32.fastq.gz	83b6663c102291a3c9ec4f57099df384	Nanopore SQK-LSK114
pool_33	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool33.fastq.gz	0a9b5dd92b09ab40f0cc8c8935a1c5f0	Nanopore SQK-LSK114
